id,name,filetype,pending,approved,redacted,is_pdf,is_image,is_irrelevant,site_url,anchor_url,file_url,message_id,request_id
231612,20220112123104_geschwaerzt.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-7/658922/anhang/20220112123104_geschwaerzt.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-7/#nachricht-658922,https://media.frag-den-staat.de/files/foi/658922/20220112123104_geschwaerzt.pdf?token=1nMxoj%3AW-BfH16omvAEvmkM6BY-imMXPEH3QMJB_IP3CPrVO1s,658922,235172
230917,2014_09_10FortschreibungKonzept_KT.PDF,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-9/657519/anhang/2014_09_10FortschreibungKonzept_KT.PDF,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-9/#nachricht-657519,https://media.frag-den-staat.de/files/foi/657519/2014_09_10FortschreibungKonzept_KT.PDF?token=1nMxop%3AUXoZiaEtTVQWQJ3LLG1vM9y1wJp9gf826msUav-j0_0,657519,235174
227610,Klimaschutzkonzept-Wrme_Kreisbericht_mitVorwort.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-10/653007/anhang/Klimaschutzkonzept-Wrme_Kreisbericht_mitVorwort.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-10/#nachricht-653007,https://media.frag-den-staat.de/files/foi/653007/Klimaschutzkonzept-Wrme_Kreisbericht_mitVorwort.pdf?token=1nMxp6%3APxLbdQETIqqMYPqW0ngj4gvOwVsdP0_8OcpVYMxBug4,653007,235175
227609,Ploen_Praxisleitfaden_mitVorwort.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-10/653007/anhang/Ploen_Praxisleitfaden_mitVorwort.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-10/#nachricht-653007,https://media.frag-den-staat.de/files/foi/653007/Ploen_Praxisleitfaden_mitVorwort.pdf?token=1nMxp6%3APZzMZ1QlRYhj90G___J0gqaZ7BfxP1pTmsF_OxtO8m4,653007,235175
232054,InformationspflichtBABCgemArt13DSGVO.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-26/659745/anhang/InformationspflichtBABCgemArt13DSGVO.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-26/#nachricht-659745,https://media.frag-den-staat.de/files/foi/659745/InformationspflichtBABCgemArt13DSGVO.pdf?token=1nMxof%3AjcZRarbqYtUZ5aO6A1GUETOkqEEy-Hnj7pdeQoUpqcE,659745,235191
228055,AOeE_030_2021_Informationsvorlage.pdf,application/octet-stream,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-28/653653/anhang/AOeE_030_2021_Informationsvorlage.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-28/#nachricht-653653,https://media.frag-den-staat.de/files/foi/653653/AOeE_030_2021_Informationsvorlage.pdf?token=1nMxp2%3AUZDDm_YkN-yAu6TP04u1KN4fOnu6dChIyEetfrAmGjw,653653,235193
229310,SchreibenanH.Semsrott-AntragIFG_geschwaerzt.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-30/654258/anhang/SchreibenanH.Semsrott-AntragIFG_geschwaerzt.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-30/#nachricht-654258,https://media.frag-den-staat.de/files/foi/654258/SchreibenanH.Semsrott-AntragIFG_geschwaerzt.pdf?token=1nMxoy%3AF17om8ERSzf-7-hzCQ3wjypLkcsXilX1MqCULMUm8Hc,654258,235195
227979,Klimaanpassungskonzept_Hagen.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-31/653593/anhang/Klimaanpassungskonzept_Hagen.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-31/#nachricht-653593,https://media.frag-den-staat.de/files/foi/653593/Klimaanpassungskonzept_Hagen.pdf?token=1nMxoa%3ADvBGdUu5uHNBikEINWCiZhldMmUORPXXFvAakPKsXrM,653593,235196
227978,Klimaschutzkonzeptionen_Hagen.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-31/653593/anhang/Klimaschutzkonzeptionen_Hagen.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-31/#nachricht-653593,https://media.frag-den-staat.de/files/foi/653593/Klimaschutzkonzeptionen_Hagen.pdf?token=1nMxoa%3AcUE_uXnV2LRxjpZ_rZ45UN0vciSNnrw52ibSgEMqt9s,653593,235196
227253,211215_Antwort_geschwaerzt.pdf,application/pdf,False,True,,True,False,False,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-55/652473/anhang/211215_Antwort_geschwaerzt.pdf,https://fragdenstaat.de/anfrage/klimaschutz-und-klimaanpassungskonzepte-55/#nachricht-652473,https://media.frag-den-staat.de/files/foi/652473/211215_Antwort_geschwaerzt.pdf?token=1nMxpD%3AR8eNZwMne1iuymPpqVi75LLu4B9PGpbHczFeJkuhsTw,652473,235220
